lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
MO,"Buchanan County, Missouri",Buchanan County, Missouri,33984,7.7,5.8,15,11.2,12.1,18.7,11.8,12,2.5,3.1,46922
MO,"Cape Girardeau County, Missouri",Cape Girardeau County, Missouri,31335,4.9,6.3,10.1,10.4,12.3,19.7,15.1,13.5,3.6,4.3,57908
MO,"Cass County, Missouri",Cass County, Missouri,40544,1.5,5.6,8.8,5.4,11.3,18.2,16.3,19.5,7.6,5.7,72819
MO,"Christian County, Missouri",Christian County, Missouri,33227,4.4,6.4,8.1,10.1,11.8,18.3,15.2,15,5.7,5.1,62765
MO,"Clay County, Missouri",Clay County, Missouri,93066,3.2,2.2,7,8.2,14.6,18.6,14,20.3,7.5,4.5,70253
MO,"Cole County, Missouri",Cole County, Missouri,31437,7.3,4.1,7.8,6.4,12.6,23.1,14.6,17.6,2.8,3.6,61371
MO,"Franklin County, Missouri",Franklin County, Missouri,42161,3.4,4.2,6.7,10.3,16.2,18.4,18.8,14.5,4.5,3.1,60953
MO,"Greene County, Missouri",Greene County, Missouri,133900,9.2,3.9,14.2,12.4,15,18.8,10.5,10.3,3.3,2.4,43752
MO,"Jackson County, Missouri",Jackson County, Missouri,292571,7.3,3.9,10.2,8.8,13,18.7,12.8,15,5.7,4.5,57936
MO,"Jasper County, Missouri",Jasper County, Missouri,45019,7.9,7.4,11.1,13.3,14.6,21.3,9.9,9.1,3,2.5,45010
MO,"Jefferson County, Missouri",Jefferson County, Missouri,83841,3.4,2.2,8.2,9.7,12.4,19.1,17.3,16.9,7.5,3.3,69009
MO,"Platte County, Missouri",Platte County, Missouri,40332,2.1,2.6,4.7,9.1,13,14.8,13.1,20.6,10,9.9,81712
MO,"St. Charles County, Missouri",St. Charles County, Missouri,150668,2.1,1.7,4.6,4.8,11.1,16,16.1,23.2,9.8,10.6,89146
MO,"St. Francois County, Missouri",St. Francois County, Missouri,24021,6.6,7.3,12.3,11.9,18.1,18.1,12.9,8.8,2.2,1.9,42390
MO,"St. Louis County, Missouri",St. Louis County, Missouri,410842,5,2.8,7.7,7.8,11.9,17.7,12.6,16.1,7.8,10.6,70022
MO,"St. Louis city, Missouri",St. Louis city, Missouri,146779,11.7,7.8,9.5,10.3,12.9,18.8,10.7,9.7,4.7,3.9,47176
MT,"Cascade County, Montana",Cascade County, Montana,32816,6.7,6,12.5,8.2,15,20.2,14,11.8,2.7,2.8,51227
MT,"Flathead County, Montana",Flathead County, Montana,40681,3.2,4.5,6.1,9.8,17,20.7,14.9,13.8,7.2,2.8,62588
MT,"Gallatin County, Montana",Gallatin County, Montana,46990,4.1,3.6,7.1,8.2,9.4,17.2,15.8,20.9,6.7,7,75418
MT,"Lewis and Clark County, Montana",Lewis and Clark County, Montana,27405,3.8,4.4,12,7.5,13.1,14.8,14.4,17.9,6,6.3,67616
MT,"Missoula County, Montana",Missoula County, Montana,50853,4.7,5.6,9,7.5,16,20.3,13.7,12.4,5.7,5.2,57347
MT,"Yellowstone County, Montana",Yellowstone County, Montana,69989,4.1,3.4,12.4,7.5,12.8,19.9,11.8,14.5,7.2,6.3,61186
NE,"Douglas County, Nebraska",Douglas County, Nebraska,222819,5.3,3.3,7.7,8,11.9,19,14.4,16.8,6.8,6.9,67133
NE,"Lancaster County, Nebraska",Lancaster County, Nebraska,128385,5.1,3.4,7.8,9.6,13.7,20.8,12.4,14.5,6.1,6.5,61175
NE,"Sarpy County, Nebraska",Sarpy County, Nebraska,68947,2.3,2.8,5.8,4.9,9.9,16.3,17.7,22.8,9.4,8,83720
NV,"Clark County, Nevada",Clark County, Nevada,813607,6.6,3.8,7.7,8.3,13.2,19,13.6,15.3,6,6.5,62107
NV,"Washoe County, Nevada",Washoe County, Nevada,191091,4.2,3.7,8.2,6.8,11,17.7,14.8,18.8,7,7.8,71881
NH,"Cheshire County, New Hampshire",Cheshire County, New Hampshire,29698,4.9,2.7,7.1,7.8,15.6,18.2,16,18.7,3.6,5.4,66088
NH,"Grafton County, New Hampshire",Grafton County, New Hampshire,35780,6,5.8,7.7,9.1,13.9,17.4,11.3,15,4,9.9,60588
NH,"Hillsborough County, New Hampshire",Hillsborough County, New Hampshire,162588,3.4,3.1,5.1,6.7,10,16.4,12.6,21,10.8,10.9,83626
NH,"Merrimack County, New Hampshire",Merrimack County, New Hampshire,60017,3,4.6,6.5,7.6,11.4,16.1,16.1,18,9.2,7.4,76218
NH,"Rockingham County, New Hampshire",Rockingham County, New Hampshire,124212,3.2,1.4,5.6,4.5,9.8,16.1,13.5,19.5,12,14.5,91249
NH,"Strafford County, New Hampshire",Strafford County, New Hampshire,50584,4.1,2.9,6.3,7.8,9.6,20.8,12.9,19.4,9.4,6.8,71765
NJ,"Atlantic County, New Jersey",Atlantic County, New Jersey,101975,6.5,3.7,8.9,8.2,13,16.8,12,16.2,7.5,7.2,63389
NJ,"Bergen County, New Jersey",Bergen County, New Jersey,343733,3.4,1.9,4.5,4.6,8.1,12,11.4,19.5,12.7,21.8,108827
NJ,"Burlington County, New Jersey",Burlington County, New Jersey,170074,2.5,1.5,5.6,5.6,9.3,17,14.8,19.7,11.3,12.9,88797
NJ,"Camden County, New Jersey",Camden County, New Jersey,187780,6.2,3.4,7.5,7.6,9.8,16.5,11.8,18.6,8.4,10.1,73672
NJ,"Cape May County, New Jersey",Cape May County, New Jersey,40939,4.2,3.3,6.8,8.6,13.2,16.2,12.1,16.6,8.5,10.5,69980
NJ,"Cumberland County, New Jersey",Cumberland County, New Jersey,51360,7.5,4.9,9.4,9.2,10.6,21.9,10.8,16.8,4.5,4.3,54587
NJ,"Essex County, New Jersey",Essex County, New Jersey,295976,8.4,4.3,7.8,8.3,10.3,16.4,10.6,13.5,7.3,13,64626
NJ,"Gloucester County, New Jersey",Gloucester County, New Jersey,106705,3.8,2.6,6.5,7.1,8,14.7,14,19.8,11.7,11.8,89447
NJ,"Hudson County, New Jersey",Hudson County, New Jersey,266664,6.2,4.7,7.3,6.2,9.4,14.5,12.1,16.7,8.8,14.1,78808
NJ,"Hunterdon County, New Jersey",Hunterdon County, New Jersey,47901,1.8,1.4,3.5,6.2,5.7,13.3,10.8,19.7,13.3,24.2,116155
NJ,"Mercer County, New Jersey",Mercer County, New Jersey,130851,8.2,3.6,6,6.7,7.8,15.3,11.4,17.2,9,14.9,79492
NJ,"Middlesex County, New Jersey",Middlesex County, New Jersey,285906,4.2,2.4,5.5,5.2,9,13.7,12.8,19.9,12.1,15.2,93418
NJ,"Monmouth County, New Jersey",Monmouth County, New Jersey,240377,4.4,2.4,4.8,6.3,6.7,12.2,11.4,19.5,11.7,20.7,102870
NJ,"Morris County, New Jersey",Morris County, New Jersey,184885,2.5,1.6,4.7,4.4,7.1,12.3,10.6,18.8,12.9,25,116283
NJ,"Ocean County, New Jersey",Ocean County, New Jersey,226725,3.1,2.4,8,7.7,10.2,18,13.8,19.7,8.8,8.3,76093
NJ,"Passaic County, New Jersey",Passaic County, New Jersey,168059,4.9,4.1,7.2,7.6,8.9,15.9,13.2,18,9.7,10.5,77040
NJ,"Salem County, New Jersey",Salem County, New Jersey,24404,2.9,6.4,9.9,6.2,12.3,19.2,11,14.8,10,7.4,68531
NJ,"Somerset County, New Jersey",Somerset County, New Jersey,122606,2.6,1.8,3,4.2,7.1,13.4,12.7,17.5,12.5,25.1,111587
NJ,"Sussex County, New Jersey",Sussex County, New Jersey,54099,2.9,1.1,4.2,4.5,6.4,15.9,14.1,22.1,13.3,15.6,101130
NJ,"Union County, New Jersey",Union County, New Jersey,192848,4.1,2.6,6.8,6.6,10.7,16.9,12,15.8,9.5,14.9,80339
NJ,"Warren County, New Jersey",Warren County, New Jersey,42397,3.8,3.6,4.9,6.4,10.2,15.4,16.7,18.2,10.8,10,84479
NM,"Bernalillo County, New Mexico",Bernalillo County, New Mexico,271307,7.9,5.1,9.3,9.5,12.6,18.2,12.5,13.4,5.8,5.7,56115
NM,"Chaves County, New Mexico",Chaves County, New Mexico,24671,9.1,7.8,13.6,10.6,16.8,15.6,9.7,9.9,5.1,1.8,42003
NM,"Doña Ana County, New Mexico",Doña Ana County, New Mexico,79094,11.6,7,14.1,10.2,12.1,18.4,11,9.9,3.4,2.3,43038
NM,"Lea County, New Mexico",Lea County, New Mexico,24478,10.7,2.1,7.7,8.3,9.6,16.7,21.5,14.8,5.5,3.2,68457
NM,"McKinley County, New Mexico",McKinley County, New Mexico,21719,15.9,6.7,11.1,12,15.6,16.1,10.8,7.6,2.8,1.3,37153
NM,"Otero County, New Mexico",Otero County, New Mexico,24133,6.6,4.3,18,17.6,14.5,17.9,9.8,6.5,3.2,1.7,39371
NM,"Sandoval County, New Mexico",Sandoval County, New Mexico,53251,3.5,2.9,6,6.3,14.2,18.9,17.2,18.1,5.4,7.7,71997
