lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
 AL,"Baldwin County, Alabama",Baldwin County, Alabama,82325,4.9,3.9,9.4,10.4,16.5,14.1,13.3,16,4.9,6.6,56439
 AL,"Calhoun County, Alabama",Calhoun County, Alabama,44636,9.6,7.3,8.4,13.1,12.8,18.7,12.2,12.9,2.8,2.2,48156
 AL,"Cullman County, Alabama",Cullman County, Alabama,32090,4.4,5.4,11,13.2,14.9,22,15.3,8.6,2.9,2.4,50906
 AL,"DeKalb County, Alabama",DeKalb County, Alabama,24880,7.2,8.4,15.6,7.6,16.9,18.9,10.7,11,3,0.7,44208
 AL,"Elmore County, Alabama",Elmore County, Alabama,30712,2.9,1.9,13.2,10.8,10.3,21,11.4,16.3,6.4,5.8,61854
 AL,"Etowah County, Alabama",Etowah County, Alabama,40053,9.9,6.3,15.9,11.8,13.4,17.5,9.7,10.3,3,2.3,41447
 AL,"Houston County, Alabama",Houston County, Alabama,39761,9.2,6,11.2,11.2,12.4,18.9,10.2,11.6,5.2,4.3,50103
 AL,"Jefferson County, Alabama",Jefferson County, Alabama,264753,9.7,5,8.9,10.4,12.6,17,9.8,14.1,5.9,6.6,53944
 AL,"Lauderdale County, Alabama",Lauderdale County, Alabama,38761,9.3,7,10.8,10.2,15.2,16.6,13.3,12.5,2.3,2.8,46632
 AL,"Lee County, Alabama",Lee County, Alabama,64448,11.2,6.3,11.7,6.3,12.2,17.9,9.8,13,5.7,5.8,53712
 AL,"Limestone County, Alabama",Limestone County, Alabama,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695
 AL,"Madison County, Alabama",Madison County, Alabama,155878,5.2,4.4,8.9,8.8,11.7,14.5,12.4,17.5,9.2,7.3,67930
 AL,"Marshall County, Alabama",Marshall County, Alabama,35330,8,4.6,12.6,8.1,16.9,21.2,12,9.8,3.6,3.2,49467
 AL,"Mobile County, Alabama",Mobile County, Alabama,155946,9,5.8,11.2,10.2,14.2,20.3,10.5,11.3,4.3,3.2,49639
 AL,"Montgomery County, Alabama",Montgomery County, Alabama,88864,8.1,3.6,9.2,10.1,15.7,20.2,11.1,13.3,4.5,4.3,53117
 AL,"Morgan County, Alabama",Morgan County, Alabama,46470,6.8,5.3,9.4,11,12.8,19.6,12.1,13.9,4.9,4.2,54338
 AL,"St. Clair County, Alabama",St. Clair County, Alabama,32829,3.9,2.9,7.8,8.7,12.6,20.2,13.8,22.3,4,3.9,67487
 AL,"Shelby County, Alabama",Shelby County, Alabama,84048,3.9,2.8,7.4,6.8,10.8,17.9,13.4,19.7,8,9.2,75614
 AL,"Talladega County, Alabama",Talladega County, Alabama,30602,9.7,6.8,13.5,12.2,7.7,16.4,13.5,14.3,3.6,2.4,50147
 AL,"Tuscaloosa County, Alabama",Tuscaloosa County, Alabama,74259,9,5,10.6,11,12.6,17.6,8.4,15.1,5.5,5.3,52243
 AL,"Walker County, Alabama",Walker County, Alabama,25153,7.4,5.3,14.4,10.9,15,16.3,12,13.7,3.3,1.9,46283
AK,"Anchorage Municipality, Alaska",Anchorage Municipality, Alaska,105198,3.8,2.7,4.6,6.6,10.1,17.6,13.1,20.4,10.8,10.2,82716
AK,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough, Alaska,35556,2.8,1.9,7.7,5.7,11.5,21.5,11.1,16,9.4,12.4,72065
AK,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough, Alaska,32736,4.5,2.9,7.7,6.9,9.6,18.7,14.6,18,8.7,8.4,74709
AZ,"Apache County, Arizona",Apache County, Arizona,20925,22.3,6.6,13.6,12.3,12.3,14.5,6.2,9.9,1.4,0.7,30480
AZ,"Cochise County, Arizona",Cochise County, Arizona,51982,7.8,4.5,9.9,11,18.5,15.6,10.7,14.3,4.9,2.8,48484
AZ,"Coconino County, Arizona",Coconino County, Arizona,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085
AZ,"Maricopa County, Arizona",Maricopa County, Arizona,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649
AZ,"Mohave County, Arizona",Mohave County, Arizona,91095,4.9,4.9,12.1,11.2,16.6,22.5,12.6,9.8,2.7,2.5,50179
AZ,"Navajo County, Arizona",Navajo County, Arizona,38732,12.8,5.1,10.8,15.9,15.8,15.7,9.9,9.8,2.8,1.5,38897
AZ,"Pima County, Arizona",Pima County, Arizona,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169
AZ,"Pinal County, Arizona",Pinal County, Arizona,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057
AZ,"Yavapai County, Arizona",Yavapai County, Arizona,102784,5.5,5,10.7,9.4,15.6,21.1,11.5,12,4.2,4.8,53816
AZ,"Yuma County, Arizona",Yuma County, Arizona,74042,10.5,5.6,11.2,10.9,14.5,18.8,14.9,9.5,2.3,1.8,46419
AK,"Benton County, Arkansas",Benton County, Arkansas,100749,4.4,3.4,6.9,7.7,11.2,19.4,15,16,6.2,9.7,69130
AK,"Craighead County, Arkansas",Craighead County, Arkansas,41409,6.2,5,14.9,13.7,13.4,14.8,9.8,14.6,3.4,4.1,45610
AK,"Faulkner County, Arkansas",Faulkner County, Arkansas,47389,8.7,3.2,10.9,9.1,12.2,20.3,15.1,13.1,3.1,4.4,57642
AK,"Garland County, Arkansas",Garland County, Arkansas,41743,8.3,8,11.5,10.1,16.7,19.7,10.3,8.3,4.6,2.6,45265
AK,"Jefferson County, Arkansas",Jefferson County, Arkansas,27593,11.4,12.3,10.8,9.3,17.5,14.9,10.5,8,2,3.2,39326
AK,"Lonoke County, Arkansas",Lonoke County, Arkansas,26052,6.9,3.6,7.6,6.9,13.8,19.1,15.2,16.2,7,3.6,62532
AK,"Pulaski County, Arkansas",Pulaski County, Arkansas,158000,6.9,5.9,9.4,10.8,15,19.2,9.7,13.3,5.1,4.8,52043
AK,"Saline County, Arkansas",Saline County, Arkansas,45455,3.2,6,7.6,7.8,12.4,20.5,12.9,19.6,7,3.1,66327
AK,"Sebastian County, Arkansas",Sebastian County, Arkansas,51384,6.2,5.3,12.1,14,13.7,18.9,11.5,11.7,3.2,3.4,48839
AK,"Washington County, Arkansas",Washington County, Arkansas,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798
AK,"White County, Arkansas",White County, Arkansas,28621,6.6,6.3,16.8,12,12.2,19.3,9.9,11.4,3.2,2.2,43399
CA,"Alameda County, California",Alameda County, California,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322
CA,"Butte County, California",Butte County, California,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563
CA,"Contra Costa County, California",Contra Costa County, California,399792,3.3,2.8,4,4.8,6.9,12.2,12.5,18.9,12.2,22.4,107135
CA,"El Dorado County, California",El Dorado County, California,74216,4.4,4.6,5.7,6.1,8.8,13.6,12,20,10.4,14.3,87059
CA,"Fresno County, California",Fresno County, California,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518
CA,"Humboldt County, California",Humboldt County, California,55692,7.6,11.7,7.1,8.2,14.2,15.3,11.5,12.7,5.5,6.2,51662
CA,"Imperial County, California",Imperial County, California,48182,6.8,10.4,11.5,9,14.6,14.6,12.9,12.4,4.7,3,48472
CA,"Kern County, California",Kern County, California,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067
CA,"Kings County, California",Kings County, California,44761,4.6,2.5,11.3,11.1,13.5,22.1,12.7,12,6.5,3.6,58453
CA,"Lake County, California",Lake County, California,25968,5.4,8.3,9.4,11.2,21.1,14.8,10.7,10.8,4.8,3.7,47138
CA,"Los Angeles County, California",Los Angeles County, California,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797
CA,"Madera County, California",Madera County, California,44387,6,1.7,7.3,14.1,11.5,16.1,14.1,18.4,5.8,4.9,64827
CA,"Marin County, California",Marin County, California,105298,3.4,2.5,4.5,4.7,8.8,10.6,11,16,10,28.6,110843
CA,"Mendocino County, California",Mendocino County, California,34478,3.8,7.8,11.8,9.3,15.1,18.6,10.5,14.3,4.6,4.1,51744
CA,"Merced County, California",Merced County, California,80645,3.4,4.5,9.5,8.8,14.9,20,13.6,14,5.9,5.4,61167
CA,"Monterey County, California",Monterey County, California,128227,3.2,2.2,8.3,7,10.8,16,15.8,18.5,7.5,10.6,77514
CA,"Napa County, California",Napa County, California,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769
CA,"Nevada County, California",Nevada County, California,39365,3.5,1.6,9.6,11.1,14.7,13.5,13.6,13.5,6.8,12.2,68818
CA,"Orange County, California",Orange County, California,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934
CA,"Placer County, California",Placer County, California,147236,2.8,2.5,5.5,5.7,7.4,13.6,13.5,20.8,11.7,16.4,97723
CA,"Riverside County, California",Riverside County, California,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260
CA,"Sacramento County, California",Sacramento County, California,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017
CA,"San Bernardino County, California",San Bernardino County, California,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903
CA,"San Diego County, California",San Diego County, California,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985
CA,"San Francisco County, California",San Francisco County, California,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859
CA,"San Joaquin County, California",San Joaquin County, California,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997
CA,"San Luis Obispo County, California",San Luis Obispo County, California,106512,4.3,3.3,7.2,7.5,11.9,14.4,13.6,19,9.8,9.2,77265
CA,"San Mateo County, California",San Mateo County, California,265003,2.3,1.9,4.1,3.5,6.4,10.2,8.7,16.9,12.7,33.3,138500
CA,"Santa Barbara County, California",Santa Barbara County, California,146466,5.3,2.9,6.4,5.6,12.7,16.8,12.5,17,7.3,13.6,75653
CA,"Santa Clara County, California",Santa Clara County, California,643637,2.5,2.3,3.6,4.3,5.9,10.8,9.4,16.5,13.2,31.6,133076
CA,"Santa Cruz County, California",Santa Cruz County, California,97710,3,3.4,7.2,6.4,9.8,12.1,12.2,18.2,10.4,17.3,89269
CA,"Shasta County, California",Shasta County, California,72714,4.9,5.9,11,7.1,12.4,16.1,14.5,14.6,7.9,5.4,63091
CA,"Solano County, California",Solano County, California,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652
CA,"Sonoma County, California",Sonoma County, California,190689,2.9,2.7,4.2,6.5,9.3,16.1,15.6,18.8,10.7,13.3,87828
CA,"Stanislaus County, California",Stanislaus County, California,174698,4.7,3.9,7.8,9.4,13.2,18.8,13.8,16.9,6.1,5.2,63037
CA,"Sutter County, California",Sutter County, California,33039,3.5,5.2,8.2,9.8,12.4,18.6,11.7,14.2,9.5,6.9,62777
CA,"Tehama County, California",Tehama County, California,25310,9.4,4,13.1,9.3,13.3,14.4,12.1,11.4,9.8,3.3,53475
CA,"Tulare County, California",Tulare County, California,144109,5.6,4.2,9.4,10.3,14,18.7,13.6,13.7,7.2,3.4,57692
CA,"Ventura County, California",Ventura County, California,268524,3,2.1,5,5.4,9.3,13.8,15.1,20.4,11.9,14,92236
CA,"Yolo County, California",Yolo County, California,76075,7.2,5,5.7,6.6,8.7,18.9,10.4,16.7,9.4,11.3,71417
CA,"Yuba County, California",Yuba County, California,26827,10.4,4.1,6.5,7.9,12.7,21.1,11.4,14.6,5.9,5.5,58765
CO,"Adams County, Colorado",Adams County, Colorado,171977,3.6,2.7,6.1,6.8,11.8,18.4,16.2,18.4,9.4,6.6,75804
CO,"Arapahoe County, Colorado",Arapahoe County, Colorado,246302,3.8,1.9,4.2,5.7,11.2,19,13.5,19.3,10.2,11.2,82710
CO,"Boulder County, Colorado",Boulder County, Colorado,131854,5.8,2.6,5.8,5,9,14.7,13.7,17,10.5,15.9,88535
CO,"Broomfield County, Colorado",Broomfield County, Colorado,28062,1.8,1,2.1,3.8,7.5,13.8,14.8,19.8,16.6,18.9,111400
CO,"Denver County, Colorado",Denver County, Colorado,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646
CO,"Douglas County, Colorado",Douglas County, Colorado,127476,1.7,0.8,2.4,4.4,4.7,10.9,13.1,24.4,16.5,21.1,122867
CO,"El Paso County, Colorado",El Paso County, Colorado,265798,4.4,2.8,6.3,7.3,11.5,19.6,14.7,17.4,8.5,7.6,72830
CO,"Jefferson County, Colorado",Jefferson County, Colorado,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040
CO,"Larimer County, Colorado",Larimer County, Colorado,146638,5,3.2,7.3,6,10.2,18,14.3,16.8,9.6,9.5,75186
CO,"Mesa County, Colorado",Mesa County, Colorado,63644,5.7,4.2,7.7,8.1,15.2,21.6,12.5,15,5,4.9,60500
CO,"Pueblo County, Colorado",Pueblo County, Colorado,66111,7.8,6.3,9.9,10.5,14.9,17.5,14.1,12.5,3.8,2.6,51276
CO,"Weld County, Colorado",Weld County, Colorado,111298,3.5,2.9,7,6.4,9.8,17.5,14.3,22.4,9.3,6.8,78615
CT,"Fairfield County, Connecticut",Fairfield County, Connecticut,340557,4.2,3.3,6.2,4.8,8.6,13.4,10.3,15.7,10.8,22.8,97053
CT,"Hartford County, Connecticut",Hartford County, Connecticut,353234,6.5,3.7,7,7,9.9,15.7,12.9,17.7,9.4,10.3,75381
CT,"Litchfield County, Connecticut",Litchfield County, Connecticut,73969,2.9,3.4,5.7,7,10.1,17.2,12.8,17.9,11.3,11.6,81195
CT,"Middlesex County, Connecticut",Middlesex County, Connecticut,66884,5.5,2.8,7.8,7.5,9.6,16.2,11.1,17.5,11.1,11,76518
CT,"New Haven County, Connecticut",New Haven County, Connecticut,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751
CT,"New London County, Connecticut",New London County, Connecticut,109752,3.9,2.3,6.8,7.7,11.8,17.3,14.3,18.3,8,9.7,75633
CT,"Tolland County, Connecticut",Tolland County, Connecticut,56749,5.3,2.2,4.7,6.5,8.4,13.7,12.1,22,10.9,14.1,91028
CT,"Windham County, Connecticut",Windham County, Connecticut,47015,6.8,3.8,8,9.5,13.5,15.1,15.3,15.3,6.8,5.9,62106
DE,"Kent County, Delaware",Kent County, Delaware,68023,6,6.2,7.5,7.8,15.6,19.9,12.6,15.7,6.5,2.1,58001
DE,"New Castle County, Delaware",New Castle County, Delaware,211592,5.7,2.6,6.3,6.3,9.8,18.4,13.9,17.5,9.6,9.8,76328
DE,"Sussex County, Delaware",Sussex County, Delaware,96624,4.4,4,8.3,8.8,13.9,16.9,13.7,16.9,7.4,5.7,65155
DC,"District of Columbia, District of Columbia",District of Columbia, District of Columbia,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266
FL,"Alachua County, Florida",Alachua County, Florida,103024,11.1,4.3,11.3,9.6,14.3,15.3,10.4,13.6,4.1,6.1,49534
FL,"Bay County, Florida",Bay County, Florida,69195,6.6,2.8,7.1,7.8,14.4,22.6,15.7,12.4,6.2,4.2,59450
FL,"Brevard County, Florida",Brevard County, Florida,230043,4.2,3.7,9,10.1,16.3,18.6,12.8,13.7,6.4,5.4,57305
FL,"Broward County, Florida",Broward County, Florida,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502
FL,"Charlotte County, Florida",Charlotte County, Florida,76589,5.2,3.7,13.2,10,14.8,17.5,12.6,13.8,4.8,4.4,54652
FL,"Citrus County, Florida",Citrus County, Florida,64448,8.1,5,11.8,11.8,12.4,20.8,12,10.3,4.2,3.4,50751
FL,"Clay County, Florida",Clay County, Florida,75793,3.2,1.7,6.3,6,11.8,19.1,17,19.6,9.4,5.9,76687
FL,"Collier County, Florida",Collier County, Florida,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025
FL,"Columbia County, Florida",Columbia County, Florida,25240,7.1,4.7,15,10.5,15.4,18.4,9.2,12.3,4.8,2.6,47094
FL,"Duval County, Florida",Duval County, Florida,368668,6.8,3.8,8.8,9.5,13.8,19.4,13.1,13.7,5.7,5.5,58415
FL,"Escambia County, Florida",Escambia County, Florida,120618,6.5,4.5,10.7,10.1,15,18.9,11.9,13.9,4.2,4.2,53136
FL,"Flagler County, Florida",Flagler County, Florida,44464,3.7,2.9,11.6,10,14.3,19,11.8,15.2,6.8,4.8,60204
FL,"Hernando County, Florida",Hernando County, Florida,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031
FL,"Highlands County, Florida",Highlands County, Florida,43351,7.2,6,11.3,8.2,18.2,22.2,11.2,10.1,3.3,2.4,48698
FL,"Hillsborough County, Florida",Hillsborough County, Florida,541584,7,3.4,7.9,9.3,12.9,19.3,12.2,14.7,5.5,7.7,61154
FL,"Indian River County, Florida",Indian River County, Florida,63917,5.6,3,11,9.7,13.8,17.7,13.3,13.8,5.7,6.3,59782
FL,"Lake County, Florida",Lake County, Florida,139192,4,3.5,8.1,12.8,14,20.2,13.7,14.1,5.9,3.7,57588
FL,"Lee County, Florida",Lee County, Florida,286887,4.6,3.3,8.3,8.8,13.2,20.3,14.4,14.4,5.4,7.3,62240
FL,"Leon County, Florida",Leon County, Florida,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929
FL,"Manatee County, Florida",Manatee County, Florida,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499
FL,"Marion County, Florida",Marion County, Florida,145622,6.6,3.8,13.4,9.4,17,21,12.8,9.9,3,3,49576
FL,"Martin County, Florida",Martin County, Florida,65014,4.3,3.5,7.4,9.1,11.7,15.7,14.7,16.1,7.5,10,70842
FL,"Miami-Dade County, Florida",Miami-Dade County, Florida,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171
FL,"Monroe County, Florida",Monroe County, Florida,32839,4.7,3.8,6.6,8.3,10.3,18.9,11.3,18.5,7.5,10.2,68589
FL,"Nassau County, Florida",Nassau County, Florida,35212,4.4,3.2,4.4,10.4,11.1,19.6,15.1,18.1,7.6,6.2,70939
FL,"Okaloosa County, Florida",Okaloosa County, Florida,76097,3.7,2.8,6.6,9.7,14.8,18.6,14.9,16.2,5.5,7.2,64222
FL,"Orange County, Florida",Orange County, Florida,457949,4.9,3.5,7.6,9,13.9,19.7,13.6,14.7,5.8,7.2,63461
FL,"Osceola County, Florida",Osceola County, Florida,111539,5.3,3.8,10.8,9,18.9,21.9,12.3,10.7,4.3,3,51760
FL,"Palm Beach County, Florida",Palm Beach County, Florida,568915,5.2,4.1,8.1,8.4,12.4,16.3,12.2,15.6,6.7,11,66623
FL,"Pasco County, Florida",Pasco County, Florida,212856,5.7,4.3,10.2,9.8,15.4,17.8,12.6,14.2,5.2,4.7,55828
FL,"Pinellas County, Florida",Pinellas County, Florida,395286,6.1,4.1,8.9,9.6,14.5,17.7,13.7,13.4,5.3,6.7,56737
FL,"Polk County, Florida",Polk County, Florida,238629,6.1,4.5,11.4,11.2,14.4,20.5,13.5,11.5,3.6,3.3,51833
FL,"Putnam County, Florida",Putnam County, Florida,30866,8.2,4.6,12.4,14.7,16.7,23.5,7.5,8.5,3.1,0.9,42899
FL,"St. Johns County, Florida",St. Johns County, Florida,94761,2.7,1.5,6,5.9,9.8,15.2,12.8,21.3,8.2,16.4,90356
FL,"St. Lucie County, Florida",St. Lucie County, Florida,116900,4.1,5.5,8.8,11.5,12.6,20.4,13.9,14.6,5.6,2.8,58039
FL,"Santa Rosa County, Florida",Santa Rosa County, Florida,66187,4.8,3.5,9.4,10.1,10.8,17.7,15.9,16,5,6.8,64930
FL,"Sarasota County, Florida",Sarasota County, Florida,187411,3.3,3,8.2,7.8,13.5,19.9,14.6,16.1,5.6,8,66342
FL,"Seminole County, Florida",Seminole County, Florida,181142,4.2,2.4,7.1,7.8,13.1,18.7,14.3,15.1,8,9.3,70190
FL,"Sumter County, Florida",Sumter County, Florida,59458,4.6,3.9,7.9,11,11.9,22.5,14.6,12,6.5,5.1,60287
FL,"Volusia County, Florida",Volusia County, Florida,219451,5.6,5,9.9,12.1,14.2,19.8,13.4,12.1,3.9,4,53766
FL,"Walton County, Florida",Walton County, Florida,26475,5.4,4,7.7,7.1,18.8,15.4,16.6,13.1,5.6,6.4,60457
GA,"Barrow County, Georgia",Barrow County, Georgia,27765,5.9,3.3,5.5,7.9,10.4,23.3,16.5,18.9,6.2,2.2,69890
GA,"Bartow County, Georgia",Bartow County, Georgia,39742,9.2,7.1,5.9,8.6,11.3,22.8,12.7,14.8,4.4,3.3,59911
GA,"Bibb County, Georgia",Bibb County, Georgia,56726,10.9,6.3,10.6,13.4,14.4,14.5,10.9,10.8,4.2,4,42140
GA,"Bulloch County, Georgia",Bulloch County, Georgia,28660,5.9,6.4,11.7,10.7,14.6,25.8,12.3,7.3,2,3.3,50436
GA,"Carroll County, Georgia",Carroll County, Georgia,42798,7,3.1,9.4,7.8,14.5,20.8,16.4,14.2,4.3,2.5,61133
GA,"Catoosa County, Georgia",Catoosa County, Georgia,24130,5.1,5.6,5.5,10.3,13.4,23.9,15.2,14,3.4,3.5,61487
GA,"Chatham County, Georgia",Chatham County, Georgia,107987,6.6,5.2,11,9,11.7,19.3,12.6,14.4,4.2,6.1,57611
GA,"Cherokee County, Georgia",Cherokee County, Georgia,93441,3.3,2.6,6.7,6.5,5.9,18.9,14,21.8,11,9.2,86404
GA,"Clarke County, Georgia",Clarke County, Georgia,52124,11.2,8.2,14.8,11.1,12.9,16,8.6,8.9,3.8,4.6,39799
GA,"Clayton County, Georgia",Clayton County, Georgia,97030,6.6,4.3,11,9,17.2,25.2,10.5,11.5,3.6,1.2,51093
GA,"Cobb County, Georgia",Cobb County, Georgia,286952,3.7,2.3,4.6,7.5,11.6,17.4,14.2,17,10,11.7,79601
GA,"Columbia County, Georgia",Columbia County, Georgia,46890,1.7,0.9,4.8,7.8,6.2,18.1,17,23.6,8.9,10.9,88761
GA,"Coweta County, Georgia",Coweta County, Georgia,53640,4.4,4.6,7.1,5.6,9.6,16.8,14.6,22.1,10.3,4.9,78423
GA,"DeKalb County, Georgia",DeKalb County, Georgia,289829,5.6,3.3,8.5,9.4,13.1,17.1,12.7,13.3,6.5,10.5,63652
GA,"Dougherty County, Georgia",Dougherty County, Georgia,32630,14.9,9,15.8,10.2,14.7,15.2,8.2,8.3,1.9,1.9,35062
GA,"Douglas County, Georgia",Douglas County, Georgia,48899,4.7,3.1,6.9,8.3,17.3,17.9,15.3,15.4,6.4,4.7,62669
GA,"Fayette County, Georgia",Fayette County, Georgia,41253,2.3,1.9,2.3,6.4,8.3,18.4,14.6,19.3,10.2,16.3,92172
GA,"Floyd County, Georgia",Floyd County, Georgia,35443,6.1,4.1,13.9,11.4,14.1,18.1,11.9,12.9,4.4,3.2,50880
GA,"Forsyth County, Georgia",Forsyth County, Georgia,81765,1.8,1.2,4.2,4.1,6.4,14.4,11.2,22.5,15.3,18.9,112108
GA,"Fulton County, Georgia",Fulton County, Georgia,439578,6.3,3.4,6.7,6.3,10.2,14.4,11.3,16.1,9.1,16.2,80013
GA,"Glynn County, Georgia",Glynn County, Georgia,34614,5.8,3.8,13,9.7,8.3,22,10.4,16.7,4.9,5.5,59004
GA,"Gwinnett County, Georgia",Gwinnett County, Georgia,301471,3.7,2.2,5.8,7.9,12.4,19.7,13.7,18.4,8.5,7.6,72109
GA,"Hall County, Georgia",Hall County, Georgia,65625,2.2,3.9,8.1,9.4,12,19.6,11.8,17.9,7.1,7.9,67467
GA,"Henry County, Georgia",Henry County, Georgia,79550,3.2,2.2,4.7,8.2,11.2,21.9,15.1,20.5,7,6,71939
GA,"Houston County, Georgia",Houston County, Georgia,58417,7.1,3.6,6.1,9.1,13.1,18,15.5,16.1,7.3,4.1,66740
GA,"Jackson County, Georgia",Jackson County, Georgia,25180,8.2,3.9,6.8,9.8,10.9,15.3,14.8,17.7,5.9,6.6,65063
GA,"Lowndes County, Georgia",Lowndes County, Georgia,42639,8.1,3.8,13.1,14.9,13.6,20,12.1,8.4,2.9,3.2,45683
GA,"Muscogee County, Georgia",Muscogee County, Georgia,73134,10.2,5.2,10.7,13,13.9,18.6,10.2,9.9,3.1,5.2,46934
GA,"Newton County, Georgia",Newton County, Georgia,37867,5.6,4.8,10.7,9.5,14,22.9,9.7,15.3,4.4,3.2,57254
GA,"Paulding County, Georgia",Paulding County, Georgia,56476,5.4,0.9,5.8,5.1,12.6,19.2,17.9,22.5,7.8,2.7,75800
GA,"Richmond County, Georgia",Richmond County, Georgia,68361,7.8,7.6,10.9,12.1,16.4,20.4,10.6,9.1,2.3,2.9,44973
GA,"Rockdale County, Georgia",Rockdale County, Georgia,32792,7.4,2.4,6.8,8.4,16.6,17.3,14,18.6,2.2,6.3,60560
GA,"Spalding County, Georgia",Spalding County, Georgia,25339,5.5,5.5,11.6,10.8,14.8,21.2,12.5,9.3,4.5,4.2,51677
GA,"Troup County, Georgia",Troup County, Georgia,24436,12.9,5.2,11.3,10.2,12.8,18.3,10.9,11.8,2.7,4,46198
GA,"Walker County, Georgia",Walker County, Georgia,26760,3.6,8.5,13.5,12.5,12.7,22.5,12.6,9.6,2,2.4,47856
GA,"Walton County, Georgia",Walton County, Georgia,33350,4.5,2,9.9,6.6,15.2,16.9,13,16.9,11.8,3.4,66176
GA,"Whitfield County, Georgia",Whitfield County, Georgia,34518,4.3,5.9,9.5,13.2,15.5,18.8,13.1,11.4,3.4,5,52198
HI,"Hawaii County, Hawaii",Hawaii County, Hawaii,71193,6.2,4,10.4,7.7,9.9,16.2,13.1,16.7,8.7,7.1,67075
HI,"Honolulu County, Hawaii",Honolulu County, Hawaii,316456,4.6,2.5,4.9,6.1,8.2,16.7,13.5,20.7,10.7,12.2,87470
HI,"Kauai County, Hawaii",Kauai County, Hawaii,22898,4.8,1,6.7,5,11.6,18.1,11.9,23.1,9.2,8.5,81971
HI,"Maui County, Hawaii",Maui County, Hawaii,54744,6,2.1,5.7,6.6,8.6,18,14.7,18.7,10.4,9.1,80754
ID,"Ada County, Idaho",Ada County, Idaho,184160,3.7,2.5,6.2,8.5,11.7,18.9,15,16.7,8.2,8.6,72021
ID,"Bannock County, Idaho",Bannock County, Idaho,32010,5.7,5.7,11.8,11,13.7,20.2,10.5,14.6,5.1,1.8,51989
ID,"Bonneville County, Idaho",Bonneville County, Idaho,40776,4.9,3.7,10.5,6.1,14.7,17.5,12.5,18.3,6.3,5.3,64618
ID,"Canyon County, Idaho",Canyon County, Idaho,77449,3.3,3.7,7.9,10.4,15,23.3,15.2,14.7,3.2,3.2,58945
ID,"Kootenai County, Idaho",Kootenai County, Idaho,65283,2.8,2.1,10.4,9.8,12.9,24.2,13.9,16.1,3.7,4.1,62579
ID,"Twin Falls County, Idaho",Twin Falls County, Idaho,31850,4.8,4.8,10.1,9.7,13.5,23.8,15.5,10.7,2.9,4.2,56276
IL,"Adams County, Illinois",Adams County, Illinois,26993,6.3,2.4,7.6,8.7,18.1,19.8,16.6,13.5,4.3,2.5,55727
