LST,Geographic_Area_Name,County,STATE,id,Estimate_Households_Total,"Estimate_Households_Total_Less_than_10,000","Estimate_Households_Total_$10,000_to_$14,999","Estimate_Households_Total_$15,000_to_$24,999","Estimate_Households_Total_$25,000_to_$34,999","Estimate_Households_Total_$35,000_to_$49,999","Estimate_Households_Total_$50,000_to_74,999","Estimate_Households_Total_$75,000_to_$99,999","Estimate_Households_Total_$100,000_to_$149,999","Estimate_Households_Total_$150,000_to_$199,999","Estimate_Households_Total_$200,000_or_more",EstimateHouseholds!!Median_income_(dollars),Estimate_Families_Total,"Estimate_Families_Total_Less_than_$10,000","Estimate_Families_Total_$10,000_to_$14,999","Estimate_Families_Total_$15,000_to_$24,999","Estimate_Families_Total_$25,000_to_$34,999","Estimate_Families_Total_$200,000_or_more",EstimateFamilies!!Median income (dollars),Estimate_Families_Mean_income_$,EstimateFamiliesPERCENT_ALLOCATEDFamily_income_in_the_past_12_months
NC,"Burke County, North Carolina",Burke County, North Carolina,0500000US37023,36634,6.2,4.9,13.2,11.9,15.9,22.1,9.8,10.9,2.6,2.4,47361,25391,3.6,2.4,9.9,9.8,3.1,60227,72568,24.9
NC,"Cabarrus County, North Carolina",Cabarrus County, North Carolina,0500000US37025,68798,4.2,3.4,6.6,6.5,12.6,18.5,14.2,16.6,7.6,9.9,72333,51217,1.4,2.8,3.5,4.6,12.8,85805,108791,34.7
NC,"Caldwell County, North Carolina",Caldwell County, North Carolina,0500000US37027,32513,4.1,5.4,12.3,15.1,15.2,17.9,15.2,10.6,3.1,1.2,48737,20975,3.1,1.4,7.9,15.1,1.1,61547,68630,30.9
NC,"Carteret County, North Carolina",Carteret County, North Carolina,0500000US37031,28962,6.7,3.4,8.5,10.5,14.2,17.8,12.3,15.1,6.9,4.6,60186,18292,2.3,1.4,4,8.5,5.9,76840,98025,34.2
NC,"Catawba County, North Carolina",Catawba County, North Carolina,0500000US37035,62417,9.8,3.6,9.1,9.9,15.6,19.4,12.1,12.4,3.3,4.9,52436,41861,6.6,1.5,5.7,7.1,7.1,66741,88672,37
NC,"Chatham County, North Carolina",Chatham County, North Carolina,0500000US37037,30674,2.1,4.5,12.7,6.4,13.3,16.5,11.5,15.1,7.2,10.8,66857,21406,0.7,0.7,7.1,6.5,13.2,82689,114339,36.5
NC,"Cleveland County, North Carolina",Cleveland County, North Carolina,0500000US37045,30599,9.6,6.2,12.6,11,14.9,18.8,11.6,9.2,3.4,2.6,44987,21410,8.3,4.4,10.4,9.6,3.2,53571,73524,41.5
NC,"Craven County, North Carolina",Craven County, North Carolina,0500000US37049,42221,5,3.4,11.2,16.1,12.8,15,12.2,16,4,4.3,52832,28502,3,2.7,8.2,12.4,6.2,67467,85690,33.6
NC,"Cumberland County, North Carolina",Cumberland County, North Carolina,0500000US37051,128135,9,5.1,10.8,11.7,17.9,17.6,11.2,11.3,3.2,2.3,46292,78365,6,2.9,8.2,11.3,3,55078,70340,36.5
NC,"Davidson County, North Carolina",Davidson County, North Carolina,0500000US37057,69938,7.6,4.5,10.2,13.4,11.7,20.3,13.4,11.9,3.9,3.1,53473,49037,5.7,2.4,7.3,13.1,3.5,64056,73876,28.3
NC,"Durham County, North Carolina",Durham County, North Carolina,0500000US37063,131140,5.9,3.7,6.5,9.3,13.3,17.1,14.4,15,7.1,7.8,65317,75291,3.1,2.6,4.8,7.9,11.2,81056,104113,33.5
NC,"Forsyth County, North Carolina",Forsyth County, North Carolina,0500000US37067,148151,7.7,4.4,12,10.9,13.1,17.4,12.5,11.9,4.9,5.2,52017,90837,3.4,2.4,7.9,10.5,7.7,70148,92182,33.9
NC,"Franklin County, North Carolina",Franklin County, North Carolina,0500000US37069,26720,3.8,3.7,7.8,6.5,19.2,21.3,14.6,14.1,6.7,2.3,57099,20443,0.3,2.7,6.4,7.4,2.5,63804,76657,38.2
NC,"Gaston County, North Carolina",Gaston County, North Carolina,0500000US37071,85705,5.2,5.6,10.5,9.7,13.9,18.7,12.7,15.2,4.9,3.6,56595,55868,2.5,1.6,6.4,9.1,5.1,70537,88629,38.9
NC,"Guilford County, North Carolina",Guilford County, North Carolina,0500000US37081,206950,7.4,4.6,9.6,9.8,14.8,17,12.4,13.9,5.3,5.3,55328,132323,4.8,2.7,7.7,7.5,7.3,69273,92308,41.3
NC,"Harnett County, North Carolina",Harnett County, North Carolina,0500000US37085,46416,6.3,5.6,12.3,10.6,10.7,19.7,15.1,13.9,3.6,2.3,55753,31025,3.4,2.5,8.1,9.7,2.9,66600,73904,35.9
NC,"Henderson County, North Carolina",Henderson County, North Carolina,0500000US37089,51115,2.8,4.9,10.6,9.5,12.7,20.6,15.5,13.7,4.8,4.8,62131,33992,1.8,4.5,7,5.7,6.8,73823,91630,35.1
NC,"Iredell County, North Carolina",Iredell County, North Carolina,0500000US37097,68145,3.1,3.4,8.4,9.6,10.9,19,15.1,15.8,6.6,8.2,68660,49635,2.6,1.4,4.8,6.5,10.7,81610,104428,35.8
NC,"Johnston County, North Carolina",Johnston County, North Carolina,0500000US37101,73567,7.1,3.7,8.4,8,14.5,15.7,13,18.4,5.1,6.2,60951,53743,4.1,1.7,6.2,8.3,8.1,76439,95272,33.5
NC,"Lincoln County, North Carolina",Lincoln County, North Carolina,0500000US37109,34418,4.8,4.8,4.9,11.7,11.1,17.8,13.1,12.7,12.1,6.9,71514,24445,1.3,1,2.8,8.9,9.5,80649,103840,30.9
